Character,dialogue,season,chapter,to,ProD
Waymar Royce," What d'you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",1,1,Will,"Waymar Royce,Will, What d'you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces."
Will," I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",1,1,Waymar Royce,"Will,Waymar Royce, I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life."
Waymar Royce, How close did you get?,1,1,Will,"Waymar Royce,Will, How close did you get?"
Will, Close as any man would.,1,1,Gared,"Will,Gared, Close as any man would."
Gared, We should head back to the wall.,1,1,Waymar Royce,"Gared,Waymar Royce, We should head back to the wall."
Waymar Royce, Do the dead frighten you?,1,1,Gared,"Waymar Royce,Gared, Do the dead frighten you?"
Gared, Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,1,1,Waymar Royce,"Gared,Waymar Royce, Our orders were to track the wildlings. We tracked them. They won't trouble us no more."
Waymar Royce, You don't think he'll ask us how they died? Get back on your horse.,1,1,Will,"Waymar Royce,Will, You don't think he'll ask us how they died? Get back on your horse."
Will, Whatever did it to them could do it to us. They even killed the children.,1,1,Waymar Royce,"Will,Waymar Royce, Whatever did it to them could do it to us. They even killed the children."
Waymar Royce," It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter ... If I don't catch you first. Get back on your horse. I won't say it again.",1,1,Waymar Royce,"Waymar Royce,Waymar Royce, It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter ... If I don't catch you first. Get back on your horse. I won't say it again."
Waymar Royce, Your dead men seem to have moved camp.,1,1,Will,"Waymar Royce,Will, Your dead men seem to have moved camp."
Will, They were here.,1,1,Gared,"Will,Gared, They were here."
Gared, See where they went.,1,1,Waymar Royce,"Gared,Waymar Royce, See where they went."
Waymar Royce, What is it?,1,1,Gared,"Waymar Royce,Gared, What is it?"
Gared, It's ...,1,1,Jon Snow,"Gared,Jon Snow, It's ..."
Jon Snow, Go on. Father's watching.,1,1,Jon Snow,"Jon Snow,Jon Snow, Go on. Father's watching."
Jon Snow, And your mother.,1,1,Septa Mordane,"Jon Snow,Septa Mordane, And your mother."
Septa Mordane," Fine work, as always. Well done.",1,1,Sansa Stark,"Septa Mordane,Sansa Stark, Fine work, as always. Well done."
Sansa Stark, Thank you.,1,1,Septa Mordane,"Sansa Stark,Septa Mordane, Thank you."
Septa Mordane, I love the detail that you've managed to get in this corners. ... Quite beautiful ... the stitching ...,1,1,Ned Stark,"Septa Mordane,Ned Stark, I love the detail that you've managed to get in this corners. ... Quite beautiful ... the stitching ..."
Ned Stark," And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",1,1,Jon Snow,"Ned Stark,Jon Snow, And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
Jon Snow," Don't think too much, Bran.",1,1,Robb Stark,"Jon Snow,Robb Stark, Don't think too much, Bran."
Robb Stark, Relax your bow arm.,1,1,Jon Snow,"Robb Stark,Jon Snow, Relax your bow arm."
Jon Snow," Quick, Bran, faster!",1,1,Cassel,"Jon Snow,Cassel, Quick, Bran, faster!"
Cassel, Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,1,1,Ned Stark,"Cassel,Ned Stark, Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch."
Ned Stark, Get the lads to saddle their horses.,1,1,Catelyn Stark,"Ned Stark,Catelyn Stark, Get the lads to saddle their horses."
Catelyn Stark, Do you have to?,1,1,Ned Stark,"Catelyn Stark,Ned Stark, Do you have to?"
Ned Stark," He swore an oath, Cat.",1,1,Cassel,"Ned Stark,Cassel, He swore an oath, Cat."
Cassel," The law is law, my lady.",1,1,Ned Stark,"Cassel,Ned Stark, The law is law, my lady."
Ned Stark," Tell Bran he's coming, too.",1,1,Catelyn Stark,"Ned Stark,Catelyn Stark, Tell Bran he's coming, too."
Catelyn Stark, Ned. Ten is too young to see such things.,1,1,Ned Stark,"Catelyn Stark,Ned Stark, Ned. Ten is too young to see such things."
Ned Stark, He won't be a boy forever. And winter is coming.,1,1,Robb Stark,"Ned Stark,Robb Stark, He won't be a boy forever. And winter is coming."
Robb Stark," Lad, go run back and get the rest.",1,1,Will,"Robb Stark,Will, Lad, go run back and get the rest."
Will," White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",1,1,Will,"Will,Will, White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them."
Will," I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",1,1,Will,"Will,Will, I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry."
Will," Forgive me, lord.",1,1,Ned Stark,"Will,Ned Stark, Forgive me, lord."
Ned Stark," In the name of Robert of the House Baratheon, first of his name ...",1,1,Jon Snow,"Ned Stark,Jon Snow, In the name of Robert of the House Baratheon, first of his name ..."
Jon Snow, Don't look away.,1,1,Ned Stark,"Jon Snow,Ned Stark, Don't look away."
Ned Stark, King of the Andals and the First Men ...,1,1,Jon Snow,"Ned Stark,Jon Snow, King of the Andals and the First Men ..."
Jon Snow, Father will know if you do.,1,1,Ned Stark,"Jon Snow,Ned Stark, Father will know if you do."
Ned Stark," Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",1,1,Jon Snow,"Ned Stark,Jon Snow, Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
Jon Snow, You did well.,1,1,Ned Stark,"Jon Snow,Ned Stark, You did well."
Ned Stark, You understand why I did it?,1,1,Brann Stark,"Ned Stark,Brann Stark, You understand why I did it?"
Brann Stark, Jon said he was a deserter.,1,1,Ned Stark,"Brann Stark,Ned Stark, Jon said he was a deserter."
Ned Stark, But do you understand why I had to kill him?,1,1,Brann Stark,"Ned Stark,Brann Stark, But do you understand why I had to kill him?"
Brann Stark, Our way is the old way?,1,1,Ned Stark,"Brann Stark,Ned Stark, Our way is the old way?"
Ned Stark, The man who passes the sentence should swing the sword.,1,1,Brann Stark,"Ned Stark,Brann Stark, The man who passes the sentence should swing the sword."
Brann Stark, Is it true he saw the White Walkers?,1,1,Ned Stark,"Brann Stark,Ned Stark, Is it true he saw the White Walkers?"
Ned Stark, The White Walkers have been gone for thousands of years.,1,1,Brann Stark,"Ned Stark,Brann Stark, The White Walkers have been gone for thousands of years."
Brann Stark, So he was lying?,1,1,Ned Stark,"Brann Stark,Ned Stark, So he was lying?"
Ned Stark, A madman sees what he sees.,1,1,Jon Snow,"Ned Stark,Jon Snow, A madman sees what he sees."
Jon Snow, What is it?,1,1,Theon Greyjoy,"Jon Snow,Theon Greyjoy, What is it?"
Theon Greyjoy, Mountain lion?,1,1,Ned Stark,"Theon Greyjoy,Ned Stark, Mountain lion?"
Ned Stark, There are no mountain lions in these woods.,1,1,Theon Greyjoy,"Ned Stark,Theon Greyjoy, There are no mountain lions in these woods."
Theon Greyjoy, It's a freak.,1,1,Ned Stark,"Theon Greyjoy,Ned Stark, It's a freak."
Ned Stark, It's a direwolf.,1,1,Ned Stark,"Ned Stark,Ned Stark, It's a direwolf."
Ned Stark, Tough old beast.,1,1,Robb Stark,"Ned Stark,Robb Stark, Tough old beast."
Robb Stark, There are no direwolves south of the Wall.,1,1,Jon Snow,"Robb Stark,Jon Snow, There are no direwolves south of the Wall."
Jon Snow, Now there are five.,1,1,Jon Snow,"Jon Snow,Jon Snow, Now there are five."
Jon Snow, You want to hold it?,1,1,Brann Stark,"Jon Snow,Brann Stark, You want to hold it?"
Brann Stark, Where will they go? Their mother's dead.,1,1,Cassel,"Brann Stark,Cassel, Where will they go? Their mother's dead."
Cassel, They don't belong down here.,1,1,Ned Stark,"Cassel,Ned Stark, They don't belong down here."
Ned Stark, Better a quick death. They won't last without their mother.,1,1,Theon Greyjoy,"Ned Stark,Theon Greyjoy, Better a quick death. They won't last without their mother."
Theon Greyjoy, Right. Give it here.,1,1,Brann Stark,"Theon Greyjoy,Brann Stark, Right. Give it here."
Brann Stark, NO!,1,1,Robb Stark,"Brann Stark,Robb Stark, NO!"
Robb Stark, Put away your blade.,1,1,Theon Greyjoy,"Robb Stark,Theon Greyjoy, Put away your blade."
Theon Greyjoy," I take orders from your father, not you.",1,1,Brann Stark,"Theon Greyjoy,Brann Stark, I take orders from your father, not you."
Brann Stark," Please, father!",1,1,Ned Stark,"Brann Stark,Ned Stark, Please, father!"
Ned Stark," I'm sorry, Bran.",1,1,Jon Snow,"Ned Stark,Jon Snow, I'm sorry, Bran."
Jon Snow, Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,1,1,Ned Stark,"Jon Snow,Ned Stark, Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them."
Ned Stark," You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",1,1,Brann Stark,"Ned Stark,Brann Stark, You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
Brann Stark, What about you?,1,1,Jon Snow,"Brann Stark,Jon Snow, What about you?"
Jon Snow, I'm not a Stark. Get on.,1,1,Robb Stark,"Jon Snow,Robb Stark, I'm not a Stark. Get on."
Robb Stark, What is it?,1,1,Theon Greyjoy,"Robb Stark,Theon Greyjoy, What is it?"
Theon Greyjoy," The runt of the litter. That one's yours, Snow.",1,1,Jaime Lannister,"Theon Greyjoy,Jaime Lannister, The runt of the litter. That one's yours, Snow."
Jaime Lannister," As your brother, I feel it's my duty to warn you: You worry too much. It's starting to show.",1,1,Cersei Lannister,"Jaime Lannister,Cersei Lannister, As your brother, I feel it's my duty to warn you: You worry too much. It's starting to show."
Cersei Lannister," And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",1,1,Jaime Lannister,"Cersei Lannister,Jaime Lannister, And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid."
Jaime Lannister, There was nothing to be afraid of until you told father.  We're Lannisters. Lannisters don't act like fools.,1,1,Cersei Lannister,"Jaime Lannister,Cersei Lannister, There was nothing to be afraid of until you told father.  We're Lannisters. Lannisters don't act like fools."
Cersei Lannister, What if Jon Arryn told someone?,1,1,Jaime Lannister,"Cersei Lannister,Jaime Lannister, What if Jon Arryn told someone?"
Jaime Lannister, But who would he tell?,1,1,Cersei Lannister,"Jaime Lannister,Cersei Lannister, But who would he tell?"
Cersei Lannister, My husband.,1,1,Jaime Lannister,"Cersei Lannister,Jaime Lannister, My husband."
Jaime Lannister," If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",1,1,Cersei Lannister,"Jaime Lannister,Cersei Lannister, If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on."
Cersei Lannister, You should be the Hand of the king.,1,1,Jaime Lannister,"Cersei Lannister,Jaime Lannister, You should be the Hand of the king."
Jaime Lannister," That's an honor I can do without. Their days are too long, their lives are too short.",1,1,Catelyn Stark,"Jaime Lannister,Catelyn Stark, That's an honor I can do without. Their days are too long, their lives are too short."
Catelyn Stark, All these years and I still feel like an outsider when I come here.,1,1,Ned Stark,"Catelyn Stark,Ned Stark, All these years and I still feel like an outsider when I come here."
Ned Stark, You have five northern children. You're not an outsider.,1,1,Catelyn Stark,"Ned Stark,Catelyn Stark, You have five northern children. You're not an outsider."
Catelyn Stark, I wonder if the old gods agree.,1,1,Ned Stark,"Catelyn Stark,Ned Stark, I wonder if the old gods agree."
Ned Stark, It's your gods with all the rules.,1,1,Catelyn Stark,"Ned Stark,Catelyn Stark, It's your gods with all the rules."
Catelyn Stark," I am so sorry, my love.",1,1,Ned Stark,"Catelyn Stark,Ned Stark, I am so sorry, my love."
Ned Stark, Tell me.,1,1,Catelyn Stark,"Ned Stark,Catelyn Stark, Tell me."
Catelyn Stark, There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,1,1,Ned Stark,"Catelyn Stark,Ned Stark, There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you."
Ned Stark, Your sister. The boy ...,1,1,Catelyn Stark,"Ned Stark,Catelyn Stark, Your sister. The boy ..."
Catelyn Stark, They both have their health. Gods be good.  The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,1,1,Ned Stark,"Catelyn Stark,Ned Stark, They both have their health. Gods be good.  The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them."
Ned Stark," He's coming this far North, there's only one thing he's after.",1,1,Catelyn Stark,"Ned Stark,Catelyn Stark, He's coming this far North, there's only one thing he's after."
Catelyn Stark," You can always say no, Ned.",1,1,Catelyn Stark,"Catelyn Stark,Catelyn Stark, You can always say no, Ned."
Catelyn Stark, We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,1,1,Maester Luwin,"Catelyn Stark,Maester Luwin, We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night."
Maester Luwin, I'm told he drinks all night.,1,1,Catelyn Stark,"Maester Luwin,Catelyn Stark, I'm told he drinks all night."
Catelyn Stark, How much could he possibly drink? A man of his ... stature.,1,1,Luwin,"Catelyn Stark,Luwin, How much could he possibly drink? A man of his ... stature."
