,Character,dialogue,season,chapter
0,Waymar Royce," What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces.",1,1
1,Will," I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life.",1,1
2,Waymar Royce, How close did you get?,1,1
3,Will, Close as any man would.,1,1
4,Gared, We should head back to the wall.,1,1
5,Lord Royce, Do the dead frighten you?,1,1
6,Gared, Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.,1,1
7,Lord Royce, You don’t think he’ll ask us how they died? Get back on your horse.,1,1
8,Will, Whatever did it to them could do it to us. They even killed the children.,1,1
9,Lord Royce," It’s a good thing we’re not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don’t catch you first. Get back on your horse. I won’t say it again.",1,1
10,Lord Royce, Your dead men seem to have moved camp.,1,1
11,Will, They were here.,1,1
12,Gared, See where they went.,1,1
13,Lord Royce, What is it?,1,1
14,Gared, It’s …,1,1
15,Jon Snow, Go on. Father’s watching.,1,1
16,Jon Snow, And your mother.,1,1
17,Septa Mordane," Fine work, as always. Well done.",1,1
18,Sansa Stark, Thank you.,1,1
19,Septa Mordane, I love the detail that you’ve managed to get in this corners. … Quite beautiful … the stitching …,1,1
20,Eddard Stark," And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",1,1
21,Jon Snow," Don’t think too much, Bran.",1,1
22,Robb Stark, Relax your bow arm.,1,1
23,Jon Snow," Quick, Bran, faster!",1,1
24,Cassel, Lord Stark. My lady. A guardsman just rode in from the hills. They’ve captured a deserter from the Night’s Watch.,1,1
25,Eddard Stark, Get the lads to saddle their horses.,1,1
26,Catelyn Stark, Do you have to?,1,1
27,Eddard Stark," He swore an oath, Cat.",1,1
28,Cassel," The law is law, my lady.",1,1
29,Eddard Stark," Tell Bran he’s coming, too.",1,1
30,Catelyn Stark, Ned. Ten is too young to see such things.,1,1
31,Eddard Stark, He won’t be a boy forever. And winter is coming.,1,1
32,Robb Stark," Lad, go run back and get the rest.",1,1
33,Will," White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",1,1
34,Will," I know I broke my oath. And I know I’m a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I’m no coward. Tell them I’m sorry.",1,1
35,Will," Forgive me, lord.",1,1
36,Eddard Stark," In the name of Robert of the House Baratheon, first of his name …",1,1
37,Jon Snow, Don’t look away.,1,1
38,Eddard Stark, King of the Andals and the First Men …,1,1
39,Jon Snow, Father will know if you do.,1,1
40,Eddard Stark," Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",1,1
41,Jon Snow, You did well.,1,1
42,Eddard Stark, You understand why I did it?,1,1
43,Brann Stark, Jon said he was a deserter.,1,1
44,Eddard Stark, But do you understand why I had to kill him?,1,1
45,Brann Stark, Our way is the old way?,1,1
46,Eddard Stark, The man who passes the sentence should swing the sword.,1,1
47,Brann Stark, Is it true he saw the White Walkers?,1,1
48,Eddard Stark, The White Walkers have been gone for thousands of years.,1,1
49,Brann Stark, So he was lying?,1,1
50,Eddard Stark, A madman sees what he sees.,1,1
51,Jon Snow, What is it?,1,1
52,Theon Greyjoy, Mountain lion?,1,1
53,Eddard Stark, There are no mountain lions in these woods.,1,1
54,Theon Greyjoy, It’s a freak.,1,1
55,Eddard Stark, It’s a direwolf.,1,1
56,Eddard Stark, Tough old beast.,1,1
57,Robb Stark, There are no direwolves south of the Wall.,1,1
58,Jon Snow, Now there are five.,1,1
59,Jon Snow, You want to hold it?,1,1
60,Brann Stark, Where will they go? Their mother’s dead.,1,1
61,Cassel, They don’t belong down here.,1,1
62,Eddard Stark, Better a quick death. They won’t last without their mother.,1,1
63,Theon Greyjoy, Right. Give it here.,1,1
64,Brann Stark, NO!,1,1
65,Robb Stark, Put away your blade.,1,1
66,Theon Greyjoy," I take orders from your father, not you.",1,1
67,Brann Stark," Please, father!",1,1
68,Eddard Stark," I’m sorry, Bran.",1,1
69,Jon Snow, Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,1,1
70,Eddard Stark," You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",1,1
71,Brann Stark, What about you?,1,1
72,Jon Snow, I’m not a Stark. Get on.,1,1
73,Robb Stark, What is it?,1,1
74,Theon Greyjoy," The runt of the litter. That one’s yours, Snow.",1,1
75,Jaime Lannister," As your brother, I feel it’s my duty to warn you: You worry too much. It’s starting to show.",1,1
